rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.228934783,0.168982392,0.052007555,0.03179368,0.440324856,0.087894774
0.1,0.226752681,0.171238249,0.047762731,0.028472079,0.435103025,0.090961812
0.2,0.232442668,0.154942204,0.046398863,0.027999252,0.442068939,0.094077866
0.3,0.229126562,0.180501134,0.053439415,0.037846216,0.442104254,0.105598667
0.4,0.253555701,0.173184023,0.050921689,0.031369949,0.45318078,0.100456748
0.5,0.247854294,0.22290753,0.047269934,0.027160781,0.444552894,0.120715305
0.6,0.257967355,0.214472752,0.052036304,0.033033617,0.45249505,0.113864559
0.7,0.270099075,0.217504944,0.051866463,0.033560923,0.465132259,0.118399879
0.8,0.268139736,0.228568478,0.052730291,0.034944743,0.46231853,0.125086428
0.9,0.28505922,0.234677545,0.051807152,0.037060627,0.462470149,0.128597999
