rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.09792866,0.031432353,0.022010776,0.014139956,0.34889853,0.039775007
0.1,0.105014709,0.039535651,0.022887885,0.014580777,0.350712087,0.041959223
0.2,0.096864282,0.031062973,0.022422324,0.012597785,0.346963492,0.040206974
0.3,0.09845425,0.036876247,0.020924611,0.011042103,0.34405221,0.040435167
0.4,0.097154481,0.033780599,0.019288507,0.011219131,0.340067234,0.0385803
0.5,0.094694915,0.034344165,0.018280002,0.011084622,0.339158673,0.039321225
0.6,0.091105897,0.045494984,0.014169024,0.008999809,0.328398707,0.042386133
0.7,0.088772941,0.03191506,0.011987569,0.007779592,0.327535666,0.035244781
0.8,0.078671926,0.030990149,0.007904666,0.005640281,0.314549077,0.032303319
0.9,0.07653485,0.036003853,0.004918164,0.003174866,0.301633789,0.028683501
