rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.947906977,0.129838446,0.054055583,0.037661187,0.022246269,0.378928143,0.049493321
0.1,1,1,1,0.950581395,0.132444319,0.057932164,0.036195723,0.020789895,0.380561862,0.053995715
0.2,1,1,1,0.961511628,0.133610027,0.067575262,0.033577678,0.019862867,0.382999333,0.058539598
0.3,1,1,1,0.968604651,0.132223289,0.080285447,0.031054112,0.016511751,0.374887193,0.057786033
0.4,1,1,1,0.971046512,0.125543371,0.058695869,0.028765867,0.01601109,0.365138622,0.051917454
0.5,1,1,1,0.974418605,0.127769189,0.067387548,0.026778266,0.015291262,0.358863294,0.056624635
0.6,1,1,1,0.981976744,0.117942359,0.076551436,0.02291829,0.014838983,0.354640839,0.056334071
0.7,1,1,1,0.988255814,0.122463974,0.074990838,0.016471851,0.011659977,0.341859224,0.051415919
0.8,1,1,1,0.990697674,0.132058715,0.123326398,0.012709202,0.008859042,0.341582521,0.067044599
0.9,1,1,1,0.995116279,0.113331155,0.121288904,0.007100116,0.005041218,0.320328366,0.061720432
