rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.957674419,0.09781874,0.031408627,0.024282673,0.014675297,0.350604071,0.039845957
0.1,1,1,1,0.954883721,0.105049343,0.03940735,0.026233531,0.015088525,0.35372906,0.042259619
0.2,1,0.9996875,1,0.950930233,0.099185322,0.033012678,0.026532126,0.014654691,0.353639463,0.042093942
0.3,1,1,1,0.959302326,0.100583942,0.036200331,0.026039772,0.01338076,0.351452137,0.040540138
0.4,1,1,1,0.96127907,0.100750903,0.034174057,0.025560472,0.0139244,0.351510703,0.041468784
0.5,1,1,1,0.952790698,0.101087076,0.037193919,0.027187627,0.015810818,0.355860777,0.047293217
0.6,1,1,1,0.95244186,0.102925956,0.055668707,0.025482687,0.019684816,0.354718972,0.052402711
0.7,1,1,1,0.951395349,0.104945633,0.04139532,0.026135584,0.018648167,0.362300841,0.05427516
0.8,1,1,1,0.954069767,0.097182153,0.043350093,0.024678929,0.017922627,0.350394274,0.052912994
0.9,1,1,1,0.955232558,0.105550115,0.056658775,0.028196657,0.022469759,0.354018478,0.060751021
