rho,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,0.130358698,0.045637581,0.032683251,0.019344934,0.37060657,0.047048761
0.1,0.129227165,0.047994991,0.031029873,0.017908889,0.373078035,0.048310154
0.2,0.122230957,0.050123264,0.027762137,0.016389414,0.362176867,0.046736445
0.3,0.131080439,0.071183086,0.024938168,0.01642728,0.359560733,0.050525709
0.4,0.117239809,0.057211299,0.023530216,0.013585994,0.354050942,0.045614263
0.5,0.118405863,0.072947487,0.019313785,0.011921067,0.349459338,0.047536024
0.6,0.112133737,0.066034355,0.016478913,0.009915575,0.342169604,0.045264084
0.7,0.108642636,0.084802012,0.012701862,0.007440179,0.333281772,0.05169752
0.8,0.091959508,0.057652391,0.01024163,0.006516535,0.317967393,0.038246166
0.9,0.10592027,0.088227557,0.005398772,0.00327732,0.321167426,0.049541411
