rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.951511628,0.13084632,0.045729113,0.036132826,0.020649186,0.374003761,0.045775334
0.1,1,1,1,0.954069767,0.129262905,0.048006841,0.035658503,0.018810721,0.377137339,0.049050574
0.2,1,1,1,0.964883721,0.123303524,0.052164505,0.033063475,0.02045896,0.366993169,0.047642673
0.3,1,1,1,0.969302326,0.131090739,0.0711864,0.029144779,0.018652778,0.363435457,0.051174763
0.4,1,1,1,0.976395349,0.117183972,0.057207656,0.027203136,0.01465319,0.357244913,0.046317877
0.5,1,1,1,0.978837209,0.118352507,0.072920862,0.022733519,0.01419968,0.352471295,0.04797087
0.6,1,1,1,0.984767442,0.112133329,0.066020696,0.018522061,0.011015568,0.344118585,0.045175195
0.7,1,1,1,0.98627907,0.108623072,0.084758024,0.014333909,0.009277708,0.334729174,0.05201215
0.8,1,1,1,0.991046512,0.091917052,0.057693795,0.011038731,0.007250282,0.318674548,0.038556737
0.9,1,1,1,0.994069767,0.102099978,0.072747993,0.005936508,0.004324791,0.320327117,0.04731576
