rho,PSRf,NSRf,PSRs,NSRs,ISE_mean,ISE_sd,MSE_mean,MSE_sd,PE_mean,PE_sd
0,1,1,1,0.94872093,0.130692922,0.045827099,0.035921064,0.020725084,0.373637613,0.045819458
0.1,1,1,1,0.949069767,0.129122279,0.047867566,0.034905067,0.018204485,0.377198819,0.049179465
0.2,1,1,1,0.949186047,0.12790013,0.054558677,0.035495148,0.02004085,0.374014388,0.050144223
0.3,1,1,1,0.95,0.133290413,0.065613063,0.035424263,0.021933091,0.373573217,0.057728945
0.4,1,1,1,0.954651163,0.13205857,0.065261179,0.035473885,0.02133143,0.37912627,0.057578874
0.5,1,1,1,0.946627907,0.130748149,0.070449876,0.035291373,0.023188527,0.377862458,0.061770936
0.6,1,1,1,0.947906977,0.131489222,0.063602913,0.033750875,0.020174409,0.380104998,0.05696126
0.7,1,1,1,0.95127907,0.133433618,0.073563932,0.034718605,0.023031333,0.377276271,0.073018448
0.8,1,1,1,0.946162791,0.13527386,0.07311295,0.038811574,0.037174887,0.387855221,0.076637793
0.9,1,1,1,0.954883721,0.133310339,0.066156711,0.033812495,0.024114358,0.378436039,0.075712042
