,rho,PSRf,NSRf,PSRs,NSRs,MSEf_mean,MSEf_sd,MSEs_mean,MSEs_sd,PE_mean,PE_sd
1,0,1,0.9996875,1,0.96046511627907,0.129217729724665,0.0408572479331484,0.0334662482438297,0.0190580708509003,0.0762281826474212,0.0319465733371225
2,0.1,1,1,1,0.955348837209302,0.128650780440432,0.0464886047645322,0.0353937744800145,0.0203442782452833,0.0763409605651293,0.0340375612532598
3,0.2,1,1,1,0.955116279069767,0.127859699480967,0.0532994526337561,0.0346746293493659,0.0186241877423946,0.0767843588777778,0.0283273227288066
4,0.3,1,1,1,0.957906976744186,0.128660773014723,0.0565206338708075,0.0350734120842144,0.0203101683759663,0.0721649099156045,0.0318062045672418
5,0.4,1,1,1,0.952790697674419,0.125900216897248,0.0631414635726582,0.036233668900652,0.0212961206624526,0.0748532295542593,0.035620774252397
6,0.5,1,1,1,0.956162790697674,0.132127287888236,0.0575135280962844,0.0349869897173403,0.0202716369512645,0.0762818601871557,0.037282097700988
7,0.6,1,1,1,0.957674418604651,0.139536867340133,0.0725222342324638,0.0365331167381644,0.0230493172816136,0.0752989039081259,0.0443165051730603
8,0.7,1,0.9996875,1,0.959767441860465,0.128767846887578,0.0605511236358156,0.035102627381385,0.021886930207007,0.0748017563311967,0.0458585061007985
9,0.8,1,1,1,0.956162790697674,0.133377486002362,0.0865499581690693,0.0360693665217625,0.0252312195185303,0.0726979809578467,0.0487472030219655
10,0.9,1,0.9996875,1,0.962325581395349,0.13586325647906,0.0825923799561805,0.0352396304012665,0.0286638055636497,0.0760329343991644,0.0603687170139251
