rho,methods,MSEs_value
0,PLS,0.0271916638370328
0,PLS,0.0235907993303046
0,PLS,0.0218911547402861
0,PLS,0.0241032908227385
0,PLS,0.0154481428289267
0,PLS,0.0445791296445582
0,PLS,0.0227092745482687
0,PLS,0.0126232878551212
0,PLS,0.0288507109994495
0,PLS,0.0293199711086321
0,PLS,0.0320266575090787
0,PLS,0.056159555532252
0,PLS,0.0300895108744956
0,PLS,0.0102857746749727
0,PLS,0.0320162370261248
0,PLS,0.030289565406871
0,PLS,0.0197489711407251
0,PLS,0.0141153841889986
0,PLS,0.0235008362780984
0,PLS,0.0234614024928385
0,PLS,0.0482042439876667
0,PLS,0.0254557337090275
0,PLS,0.0526105153192888
0,PLS,0.0395168727456009
0,PLS,0.058864566335354
0,PLS,0.0247611883757705
0,PLS,0.0424588936235244
0,PLS,0.0482139481837848
0,PLS,0.0135030587567099
0,PLS,0.0219126327546184
0,PLS,0.00212429208368193
0,PLS,0.0630676689506483
0,PLS,0.0111451300607379
0,PLS,0.0155363331464881
0,PLS,0.00309290710526251
0,PLS,0.0300353229770717
0,PLS,0.0273899106436985
0,PLS,0.0477199322916873
0,PLS,0.0313690095582158
0,PLS,0.0366415702798311
0,PLS,0.023603939293295
0,PLS,0.0144009026693542
0,PLS,0.0327382050617276
0,PLS,0.0497928565348656
0,PLS,0.0130318060938469
0,PLS,0.0122536427635733
0,PLS,0.0249446886801823
0,PLS,0.0206396537946764
0,PLS,0.0158283190830354
0,PLS,0.0355615425371191
0,PLS,0.0409521679489431
0,PLS,0.00410922953391928
0,PLS,0.0342842714961178
0,PLS,0.0253324040066178
0,PLS,0.0115640972326162
0,PLS,0.0427427527401683
0,PLS,0.029306119926602
0,PLS,0.0173976329658741
0,PLS,0.0222015681801695
0,PLS,0.0208008424325968
0,PLS,0.0224002504014219
0,PLS,0.0765674052750454
0,PLS,0.0153874645140703
0,PLS,0.0166082905426238
0,PLS,0.0299058221011578
0,PLS,0.027825311967325
0,PLS,0.0177348978961097
0,PLS,0.0429502576928923
0,PLS,0.0569748351949099
0,PLS,0.0309192324848137
0,PLS,0.0234165637385496
0,PLS,0.0342005129800433
0,PLS,0.00924982884981541
0,PLS,0.0137203032492246
0,PLS,0.0235098402609672
0,PLS,0.0218902642997257
0,PLS,0.0228736933690887
0,PLS,0.0458329010362726
0,PLS,0.0267281248253297
0,PLS,0.00478646617861068
0,PLS,0.0532436300864115
0,PLS,0.0198598354763477
0,PLS,0.0549610629449088
0,PLS,0.0114274520032447
0,PLS,0.0285880083052747
0,PLS,0.0374389974334611
0,PLS,0.0119424592439165
0,PLS,0.00925124035107498
0,PLS,0.00717077298537081
0,PLS,0.0258945832168899
0,PLS,0.0072097376745632
0,PLS,0.0123952060188316
0,PLS,0.0215935298769771
0,PLS,0.0298223766823376
0,PLS,0.0481024762037684
0,PLS,0.0125634404615859
0,PLS,0.0121886343817207
0,PLS,0.0332777317649175
0,PLS,0.0528494078399528
0,PLS,0.0141955621988465
0,PLS,0.0357649513514823
0,PLS,0.0495960062159862
0,PLS,0.029191245045778
0,PLS,0.041466133420031
0,PLS,0.00622251573112932
0,PLS,0.0388235462693571
0,PLS,0.0345318703771626
0,PLS,0.0267921729959864
0,PLS,0.0327365784582362
0,PLS,0.0340985623732667
0,PLS,0.00737319024267449
0,PLS,0.00772786153686514
0,PLS,0.0117122893495334
0,PLS,0.0410382670842597
0,PLS,0.0187245883312451
0,PLS,0.0434543759664769
0,PLS,0.0116221522589876
0,PLS,0.00731667830021072
0,PLS,0.026378719650818
0,PLS,0.0105969530006874
0,PLS,0.0291741350890276
0,PLS,0.00868610426328386
0,PLS,0.0175135709731378
0,PLS,0.0300979912681958
0,PLS,0.00800829400653336
0,PLS,0.00505562954988387
0,PLS,0.020542740405191
0,PLS,0.0371988179012993
0,PLS,0.0224789043209357
0,PLS,0.0151540939851082
0,PLS,0.0177169151776132
0,PLS,0.0354944966933355
0,PLS,0.0178294427597136
0,PLS,0.00943836412447711
0,PLS,0.0160032764019502
0,PLS,0.0299230282919503
0,PLS,0.0101672214937158
0,PLS,0.00442874699862333
0,PLS,0.0269276787780451
0,PLS,0.0166801634663773
0,PLS,0.0159914023848752
0,PLS,0.0325266812076555
0,PLS,0.0416952572455469
0,PLS,0.0273179262811841
0,PLS,0.021816321564908
0,PLS,0.0166170853766365
0,PLS,0.0102470007028018
0,PLS,0.0342928090222355
0,PLS,0.0107585166739705
0,PLS,0.0231004187796085
0,PLS,0.0329675837876725
0,PLS,0.0553778941499421
0,PLS,0.0214749761725369
0,PLS,0.00509603992902195
0,PLS,0.00846944675247576
0,PLS,0.0100638547075427
0,PLS,0.0648612682400966
0,PLS,0.0122094619108972
0,PLS,0.0587266298713856
0,PLS,0.0210234775240251
0,PLS,0.00743139199766399
0,PLS,0.0939025110830411
0,PLS,0.0236932699656492
0,PLS,0.00651876463081484
0,PLS,0.03341339201069
0,PLS,0.00680299879292393
0,PLS,0.129248674572589
0,PLS,0.00859791708594566
0,PLS,0.0358568758056356
0,PLS,0.0340984711076375
0,PLS,0.0357895731366367
0,PLS,0.00939976671421098
0,PLS,0.0113124122964318
0,PLS,0.0237236561383302
0,PLS,0.0220095536845549
0,PLS,0.0188132585911566
0,PLS,0.0254744388808044
0,PLS,0.0145171373475826
0,PLS,0.0210972103463914
0,PLS,0.0154177509298029
0,PLS,0.0226661538366328
0,PLS,0.0210585341672533
0,PLS,0.0100471074087179
0,PLS,0.0194058446125141
0,PLS,0.0140021383416512
0,PLS,0.0297083250686264
0,PLS,0.00704837123192875
0,PLS,0.0332362688673762
0,PLS,0.0166026068288551
0,PLS,0.0167542759297425
0,PLS,0.0218580116716895
0,PLS,0.0215641085059058
0,PLS,0.0351573826752365
0,PLS,0.037437352592182
0,PLS,0.0199099756767486
0,PLS,0.04008171933648
0,PLS,0.0357840883738083
0,PLS,0.0156269276895592
0,PLS,0.0297348172733868
0,PLS,0.00955913484229993
0,fTS,0.0299943993107909
0,fTS,0.0235907993303046
0,fTS,0.0232023981501128
0,fTS,0.0241022799868028
0,fTS,0.015437767407674
0,fTS,0.0445791296445582
0,fTS,0.0226507840537491
0,fTS,0.0119286876613506
0,fTS,0.0289635244607466
0,fTS,0.0293199711086321
0,fTS,0.0320266575090787
0,fTS,0.0591280220811545
0,fTS,0.0300233477498551
0,fTS,0.0102857746749727
0,fTS,0.0317840078591733
0,fTS,0.0303234956095269
0,fTS,0.0197489711407251
0,fTS,0.0144453558191675
0,fTS,0.0287482181981819
0,fTS,0.0234614024928385
0,fTS,0.0387494989966485
0,fTS,0.0254549918930324
0,fTS,0.0533615882887607
0,fTS,0.0395168727456009
0,fTS,0.0606404320062249
0,fTS,0.0243498944522354
0,fTS,0.0424588936235244
0,fTS,0.0480296804047411
0,fTS,0.0130958356775016
0,fTS,0.0219550421298654
0,fTS,0.00240919203483928
0,fTS,0.0618678699707954
0,fTS,0.0111029514208927
0,fTS,0.0155363331464881
0,fTS,0.00318415395663213
0,fTS,0.0300353229770717
0,fTS,0.0271263623318673
0,fTS,0.0476731688507978
0,fTS,0.0313606078022325
0,fTS,0.0363800813784189
0,fTS,0.0244306013460448
0,fTS,0.0141914032628524
0,fTS,0.0327382050617276
0,fTS,0.0496355730884966
0,fTS,0.013037392478117
0,fTS,0.0123167082973411
0,fTS,0.0249145931538096
0,fTS,0.0196964650961376
0,fTS,0.0167066957079734
0,fTS,0.0355615425371191
0,fTS,0.0409521679489431
0,fTS,0.00417232657755606
0,fTS,0.0343364137806631
0,fTS,0.0247508104914744
0,fTS,0.0115639836205611
0,fTS,0.044349908735103
0,fTS,0.0293891326375824
0,fTS,0.013398473641693
0,fTS,0.0228853824482246
0,fTS,0.020797215506519
0,fTS,0.0223428006799846
0,fTS,0.0751554973764478
0,fTS,0.0153686025061497
0,fTS,0.0166636092183919
0,fTS,0.0298286647999712
0,fTS,0.0279644210202399
0,fTS,0.0181402675000738
0,fTS,0.0427806665192941
0,fTS,0.0562209222694655
0,fTS,0.031461907092001
0,fTS,0.0234162314979622
0,fTS,0.0345917773261469
0,fTS,0.00955571887634356
0,fTS,0.0139352878954248
0,fTS,0.0235098402609672
0,fTS,0.0276866592562801
0,fTS,0.0228645100075565
0,fTS,0.0458329010362726
0,fTS,0.0254116795017404
0,fTS,0.00478646617861068
0,fTS,0.0532908064321691
0,fTS,0.0213440312464146
0,fTS,0.0553171047580185
0,fTS,0.0115928375472771
0,fTS,0.0283088966448626
0,fTS,0.0380799092260955
0,fTS,0.0119424592439165
0,fTS,0.00925124035107498
0,fTS,0.00782543506661297
0,fTS,0.0258276408282023
0,fTS,0.00781598546534536
0,fTS,0.012344244707429
0,fTS,0.0215943112513112
0,fTS,0.0298223766823376
0,fTS,0.0481024762037684
0,fTS,0.0134719385878701
0,fTS,0.0122017686587955
0,fTS,0.0332777317649175
0,fTS,0.0528494078399528
0,fTS,0.0138375810494441
0,fTS,0.0357649513514823
0,fTS,0.0493369775108892
0,fTS,0.0294312348434828
0,fTS,0.041466133420031
0,fTS,0.00622449565529136
0,fTS,0.0377197883571216
0,fTS,0.0351502186671316
0,fTS,0.0266099818259102
0,fTS,0.0325090320951228
0,fTS,0.0340601534601767
0,fTS,0.00736013851309439
0,fTS,0.00767751874208157
0,fTS,0.0117122893495334
0,fTS,0.0410349296833865
0,fTS,0.0187245883312451
0,fTS,0.0437355684254707
0,fTS,0.0116098982909006
0,fTS,0.00806665686873069
0,fTS,0.0264722745273318
0,fTS,0.0104578850863708
0,fTS,0.028283554785643
0,fTS,0.00868760144343222
0,fTS,0.0175135709731378
0,fTS,0.0300979912681958
0,fTS,0.00800788629700852
0,fTS,0.0054124886354872
0,fTS,0.0205517306645415
0,fTS,0.0373648956134295
0,fTS,0.022653684997668
0,fTS,0.0151894095052404
0,fTS,0.0179588297287485
0,fTS,0.0355019616006275
0,fTS,0.0178294427597136
0,fTS,0.00935066295965039
0,fTS,0.0160300217290686
0,fTS,0.0300179188453472
0,fTS,0.0102885646551391
0,fTS,0.00438078920560627
0,fTS,0.028446116452762
0,fTS,0.0196503158795183
0,fTS,0.0150590454236871
0,fTS,0.0325266812076555
0,fTS,0.0416952572455469
0,fTS,0.0285924138176179
0,fTS,0.0218448938838371
0,fTS,0.016664955690716
0,fTS,0.0118615155786915
0,fTS,0.0342970041542077
0,fTS,0.0108702697128916
0,fTS,0.023709547925013
0,fTS,0.0331248065242311
0,fTS,0.0538752319979394
0,fTS,0.0213135179874525
0,fTS,0.00818511968965152
0,fTS,0.00847025286217641
0,fTS,0.0100638547075427
0,fTS,0.0642144358163735
0,fTS,0.0123267349451975
0,fTS,0.0616057522025459
0,fTS,0.0201086686646552
0,fTS,0.00746420731269819
0,fTS,0.093902511083041
0,fTS,0.0224088906886141
0,fTS,0.00659165090519034
0,fTS,0.0333483629149587
0,fTS,0.007459935588373
0,fTS,0.129530806195536
0,fTS,0.00858907240667045
0,fTS,0.0369408585499087
0,fTS,0.0339789569704126
0,fTS,0.0357895731366367
0,fTS,0.00949343018869479
0,fTS,0.0113124620014366
0,fTS,0.0237236561383302
0,fTS,0.022011032841994
0,fTS,0.0168130499627519
0,fTS,0.0254744388808044
0,fTS,0.0151743273280598
0,fTS,0.0209248670176025
0,fTS,0.0154567385730273
0,fTS,0.0237467415872143
0,fTS,0.021010841569149
0,fTS,0.00953998526502456
0,fTS,0.0194058446125141
0,fTS,0.0140021383416512
0,fTS,0.0299717059012973
0,fTS,0.00702244777651553
0,fTS,0.0323461782176833
0,fTS,0.0166817767776792
0,fTS,0.0167538839369869
0,fTS,0.0217687515536269
0,fTS,0.0216541141910592
0,fTS,0.0351573826752365
0,fTS,0.0381993024779178
0,fTS,0.0199099756767486
0,fTS,0.0387232432540099
0,fTS,0.0349138959534917
0,fTS,0.0156269276895592
0,fTS,0.0286297186512325
0,fTS,0.00955913484229993
0,LS_oracle,0.0258567277811681
0,LS_oracle,0.0242201689949675
0,LS_oracle,0.0212221832172279
0,LS_oracle,0.0245899577805918
0,LS_oracle,0.0172461535820662
0,LS_oracle,0.0488677816494502
0,LS_oracle,0.0179713161550292
0,LS_oracle,0.0116786881400377
0,LS_oracle,0.0283081490821932
0,LS_oracle,0.0168052881933479
0,LS_oracle,0.0386711204194303
0,LS_oracle,0.0317180965716996
0,LS_oracle,0.026378585980352
0,LS_oracle,0.0101011213335508
0,LS_oracle,0.0243989730731561
0,LS_oracle,0.0286667725423737
0,LS_oracle,0.0133465799802707
0,LS_oracle,0.00912795913419733
0,LS_oracle,0.0198957490082962
0,LS_oracle,0.0192660821494855
0,LS_oracle,0.0306646204261188
0,LS_oracle,0.0220965706340115
0,LS_oracle,0.0494904081202555
0,LS_oracle,0.0415403273825037
0,LS_oracle,0.0492281532291437
0,LS_oracle,0.0170710852941267
0,LS_oracle,0.0334092536838512
0,LS_oracle,0.055418144582714
0,LS_oracle,0.0134590363004675
0,LS_oracle,0.0256361980705572
0,LS_oracle,0.00255541488832322
0,LS_oracle,0.0405777345947823
0,LS_oracle,0.0082474216717531
0,LS_oracle,0.0192017389788204
0,LS_oracle,0.00253191286878361
0,LS_oracle,0.0236906497603033
0,LS_oracle,0.0264162307759432
0,LS_oracle,0.042194141765545
0,LS_oracle,0.0211386606365979
0,LS_oracle,0.0369222879197947
0,LS_oracle,0.0307117343124498
0,LS_oracle,0.0107291128988621
0,LS_oracle,0.0273809683591568
0,LS_oracle,0.0297594574996234
0,LS_oracle,0.00742005992235275
0,LS_oracle,0.00942712836862583
0,LS_oracle,0.0237972547431198
0,LS_oracle,0.0213927820999832
0,LS_oracle,0.0166377148590449
0,LS_oracle,0.0227477401307084
0,LS_oracle,0.0329484747088024
0,LS_oracle,0.00411005905475746
0,LS_oracle,0.0215073239801328
0,LS_oracle,0.0246875833403082
0,LS_oracle,0.0106131835145754
0,LS_oracle,0.0385288103895328
0,LS_oracle,0.026782080488232
0,LS_oracle,0.0128903470288605
0,LS_oracle,0.0329288647952479
0,LS_oracle,0.0130219288580089
0,LS_oracle,0.0235040005349389
0,LS_oracle,0.073760979092589
0,LS_oracle,0.0174136942402031
0,LS_oracle,0.0184074520016187
0,LS_oracle,0.0230564350473503
0,LS_oracle,0.0275820916104682
0,LS_oracle,0.017372589272466
0,LS_oracle,0.0386835184340885
0,LS_oracle,0.055535448947111
0,LS_oracle,0.0291858155326887
0,LS_oracle,0.0203412762606675
0,LS_oracle,0.0319482257160223
0,LS_oracle,0.00967376498464751
0,LS_oracle,0.0116155482867334
0,LS_oracle,0.0224638399981366
0,LS_oracle,0.0191870302517703
0,LS_oracle,0.0195853392432291
0,LS_oracle,0.048014837292641
0,LS_oracle,0.027958526017161
0,LS_oracle,0.00511146090024656
0,LS_oracle,0.038748692044822
0,LS_oracle,0.0163488706546361
0,LS_oracle,0.0504775916217539
0,LS_oracle,0.00924479618211028
0,LS_oracle,0.0239013646373342
0,LS_oracle,0.0193896506371221
0,LS_oracle,0.0113332498994047
0,LS_oracle,0.0104429281650853
0,LS_oracle,0.0062351850988142
0,LS_oracle,0.0323568625077245
0,LS_oracle,0.00530213911674758
0,LS_oracle,0.0151280237687864
0,LS_oracle,0.018560840689266
0,LS_oracle,0.0298495402643081
0,LS_oracle,0.0642014638595395
0,LS_oracle,0.0127887508309394
0,LS_oracle,0.0122955208832423
0,LS_oracle,0.0188632161529252
0,LS_oracle,0.0148430374609936
0,LS_oracle,0.0112082968557309
0,LS_oracle,0.0305395326592774
0,LS_oracle,0.0401866305641511
0,LS_oracle,0.0194944317007406
0,LS_oracle,0.0518090317016677
0,LS_oracle,0.00633165750401818
0,LS_oracle,0.0254173672689804
0,LS_oracle,0.0290560872471018
0,LS_oracle,0.0283221472100905
0,LS_oracle,0.0374355752533103
0,LS_oracle,0.0262668909373849
0,LS_oracle,0.00553194025357328
0,LS_oracle,0.00772061536752917
0,LS_oracle,0.0275436728942195
0,LS_oracle,0.0198465047850675
0,LS_oracle,0.0203224199180289
0,LS_oracle,0.0432388192104759
0,LS_oracle,0.0117805323395449
0,LS_oracle,0.00485141250427236
0,LS_oracle,0.0373433074331311
0,LS_oracle,0.0101840883075605
0,LS_oracle,0.0272214015608315
0,LS_oracle,0.00565668432806396
0,LS_oracle,0.0173760522030428
0,LS_oracle,0.0223201373975146
0,LS_oracle,0.00467300759085146
0,LS_oracle,0.00469596520770804
0,LS_oracle,0.0228524214521811
0,LS_oracle,0.0344181418898716
0,LS_oracle,0.0245403188860989
0,LS_oracle,0.0156840687173941
0,LS_oracle,0.0163967092678013
0,LS_oracle,0.032496223397365
0,LS_oracle,0.0169401138299574
0,LS_oracle,0.0090415886608085
0,LS_oracle,0.014537740680881
0,LS_oracle,0.0275796668889917
0,LS_oracle,0.010074878002213
0,LS_oracle,0.00940436807417126
0,LS_oracle,0.0281015424590068
0,LS_oracle,0.0105239381644321
0,LS_oracle,0.0164532429740012
0,LS_oracle,0.0380489096270274
0,LS_oracle,0.0375944612572704
