rho,methods,PE_value
0,PLS,0.0765452807612612
0,PLS,0.0481327924086448
0,PLS,0.0866052028100797
0,PLS,0.0389149593561815
0,PLS,0.0900532985789884
0,PLS,0.0424754902333528
0,PLS,0.0410455493882238
0,PLS,0.0353641599021319
0,PLS,0.0888774193057527
0,PLS,0.0661312558931368
0,PLS,0.0199110339534483
0,PLS,0.109784825737566
0,PLS,0.110425823185492
0,PLS,0.0182908296725384
0,PLS,0.10219935775057
0,PLS,0.0555202779747523
0,PLS,0.110515596071032
0,PLS,0.0895477206568218
0,PLS,0.0663147330610341
0,PLS,0.0773359087780425
0,PLS,0.0518675864789298
0,PLS,0.066457399675504
0,PLS,0.0846336043382641
0,PLS,0.128253829080909
0,PLS,0.0825520356831553
0,PLS,0.120934599097584
0,PLS,0.0470580876306652
0,PLS,0.028528595136798
0,PLS,0.139732939427057
0,PLS,0.080459022140853
0,PLS,0.0759397352255631
0,PLS,0.012322200280285
0,PLS,0.125018655140411
0,PLS,0.0399862709458114
0,PLS,0.118879857194646
0,PLS,0.031391145259041
0,PLS,0.0778443366896431
0,PLS,0.068908603767988
0,PLS,0.0945337101961452
0,PLS,0.0789794102956867
0,PLS,0.0879503634278183
0,PLS,0.0752963373596394
0,PLS,0.0408450232640931
0,PLS,0.0737514387874343
0,PLS,0.0619579176538902
0,PLS,0.0671176664007467
0,PLS,0.0502840822527517
0,PLS,0.0632493521048807
0,PLS,0.0639665346427736
0,PLS,0.0931254361917264
0,PLS,0.0598220685272748
0,PLS,0.0155097038408878
0,PLS,0.148554241882896
0,PLS,0.0328543178525387
0,PLS,0.0242655955599487
0,PLS,0.087535349074523
0,PLS,0.0690534400609171
0,PLS,0.0730236191021632
0,PLS,0.0589752953015981
0,PLS,0.0381910552270321
0,PLS,0.0657979744351997
0,PLS,-0.00531250451414234
0,PLS,0.105310879692397
0,PLS,0.13228653781647
0,PLS,0.117049749334265
0,PLS,0.0453991947536398
0,PLS,0.00721174043259598
0,PLS,0.0921815581398389
0,PLS,0.0938774374615039
0,PLS,0.0620156767044666
0,PLS,0.100144182870498
0,PLS,0.0687035827142497
0,PLS,0.0757457881145809
0,PLS,0.0555435163324687
