"","sn","PSRf","NSRf","PSRs","NSRs","MSEf_mean","MSEf_sd","MSEs_mean","MSEs_sd","PE_mean","PE_sd"
"1",1,1,0.965625,1,0.952441860465116,3.94847458898142,0.348651747487146,0.0330857795915829,0.0469025272876801,0.962216338311383,0.134515562530515
"2",2,1,0.981875,1,0.959418604651163,1.3904658586531,0.195970807464731,0.021178547816227,0.0116651927953861,0.195334563047997,0.0501984644749996
"3",3,1,0.993125,1,0.96046511627907,0.782005088840335,0.132397683621332,0.0192146536138408,0.0113123349196711,0.120910994886249,0.0380475550865719
"4",4,1,0.998125,1,0.961744186046512,0.100201182629792,0.0400941386688408,0.0190416813102735,0.0113956496344628,0.0704363004326921,0.0341467955981671
"5",5,1,0.999375,1,0.961162790697674,0.133208836449976,0.0515789129385416,0.0190806239942419,0.0113060508063169,0.0722453663567305,0.0343710651110782
"6",6,1,1,1,0.961279069767442,0.182288860490752,0.0668508690627368,0.0191038132276303,0.011352342629783,0.0740454271560746,0.034297376444771
"7",7,1,0.9996875,1,0.960581395348837,0.266587540591171,0.0973038326815306,0.0191734662826668,0.0114915329374567,0.0764609003102287,0.03447484879816
"8",8,1,0.999375,1,0.961162790697674,0.373904312409184,0.143801340262614,0.0192583343433874,0.0116454412639545,0.0782822279929849,0.0346203536096533
"9",10,1,0.999375,1,0.960813953488372,0.732398828237594,0.239938428596672,0.0195401804656647,0.0119951794443458,0.0820922083132943,0.0345979763040953
"10",12,1,1,1,0.962093023255814,1.33990931055875,0.412752238009455,0.0196842098258969,0.0121389703714667,0.0856334135657366,0.0340742504798988
"11",15,1,1,1,0.961511627906977,3.06628096358492,0.873501756923929,0.0199612177286003,0.012427867169582,0.0902605349658731,0.0353871518388499
"12",16,1,1,1,0.963604651162791,3.95329311681991,1.06878745312841,0.0198639435815831,0.0124688992553057,0.092303221088751,0.0356142988157367
"13",18,1,1,1,0.96406976744186,6.70624831423887,1.92581294242707,0.0198705277517924,0.0125206705375163,0.0977199968958293,0.0371588414033694
"14",20,1,1,1,0.962790697674419,10.9383749266779,3.27851178328657,0.0199286180315562,0.0125969117262417,0.10409837558629,0.0390792281488392
"15",3.5025,1,1,1,0.967674418604651,0.0971915945230827,0.0395048058823527,0.0194074211322326,0.0112862764113037,0.0701826031249596,0.0341753893935068
